Name,Phone Number,$,Address,Menu
Cluck-N-Moo,678-401-6487,$,"3894 Due W Rd NW Suite 280, Marietta, GA 30064",https://www.toasttab.com/cluck-n-mooh-marietta-3894-due-west-rd-ste-280/v3/?mode=fulfillment
A Taste of Cindy's Kitchen,770-222-2040,$,"3606 Atlanta Hwy, Hiram, GA 30141",http://places.singleplatform.com/a-taste-of-cindys-kitchen/menu?ref=google
Frannick's Caf�,678-401-2145,$,"1001 Old Harris Rd, Dallas, GA 30132",https://www.frannickscafe.com/menu
Briar Patch BBQ,770-445-3737,$$,"3807 Atlanta Hwy, Hiram, GA 30141",https://www.briarpatchrestaurant.com/menu
Hibachi Express,770-779-8968,$,"4374 Atlanta Hwy #133, Hiram, GA 30141",http://thehibachiexpress.com/menu
Marco's Pizza,770-443-7200,$,"4374 Atlanta Hwy Suite 139, Hiram, GA 30141",https://www.marcos.com/menu/
Olive Tree,770-439-0203,$$,"37 Beatty St #115, Hiram, GA 30141",https://www.theolivetreerestauranthiram.com/menu/
O'Charley's,770-222-0822,$$,"4790 Jimmy Lee Smith Pkwy, Hiram, GA 30141",https://www.ocharleys.com/menu/
La Cocina,770-445-2511,$,"457 Nathan Dean Blvd # 116, Dallas, GA 30132",http://www.mylacocina.com/menu.html
Huey Luey's,678-567-0080,$$,"5460 Wendy Bagwell Pkwy, Hiram, GA 30141",https://hueylueys.com/wp-content/uploads/2021/01/hirammenu_dec2020-3-final.pdf
